Varies per block?       ,    1,Unit    ,k$     ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   26
Stag,Seq.,Blck,Biometano  cluster interior SP (Paulinia),Rota 1  pre-sal Santos (UTGCA),Biometano  cluster Japeri (RJ),Rota 3  pre-sal (Boaventura),Rota 2  pre-sal (Cabiunas),BM-C-33 / Raia (Cabiunas),Producao capixaba (Cacimbas),Producao Bolivia (Rio Grande),Exportacao Argentina p/ Bolivia (Campo Duran),GNL firme DES  B. Guanabara,GNL firme DES  Acu,GNL firme DES  Santos,GNL spot  mercado internacional,Producao Bahia (Manati + Reconcavo),Producao onshore SE/AL (Carmopolis),SEAP  Sergipe Aguas Profundas,Producao RN (Guamare),GNL firme DES  Bahia,GNL firme DES  Pecem,GNL firme DES  Sergipe,GNL firme DES  Suape,Producao Urucu,Producao Parnaiba,GNL firme DES  Barcarena,Exportacao Argentina p/ TSB (Paso de los Libres),GNL firme DES  Babitonga (TGS)
   9,   1,   2,  0.0000    ,  143.35    ,  0.0000    ,  3518.2    ,  5617.4    ,  0.0000    ,  0.0000    ,  188.67    ,  0.0000    ,  0.0000    ,  3477.7    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  7338.2    ,  8535.6    ,  477.93    ,  42.290    ,  0.0000      
   9,   1,   3,  0.0000    ,  164.59    ,  0.0000    ,  10513.    ,  11471.    ,  0.0000    ,  0.0000    ,  216.62    ,  0.0000    ,  0.0000    ,  4375.3    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  9161.0    ,  10594.    ,  591.22    ,  0.0000    ,  0.0000      
  10,   1,   1,  0.0000    ,  74.049    ,  0.0000    ,  930.06    ,  802.47    ,  0.0000    ,  0.0000    ,  98.417    ,  0.0000    ,  0.0000    ,  1288.0    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  3147.4    ,  3475.7    ,  246.13    ,  39.008    ,  0.0000      
  10,   1,   2,  0.0000    ,  141.05    ,  0.0000    ,  2091.4    ,  1991.7    ,  0.0000    ,  0.0000    ,  187.46    ,  0.0000    ,  0.0000    ,  3106.2    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  8171.9    ,  8855.2    ,  483.91    ,  74.903    ,  0.0000      
  10,   1,   3,  0.0000    ,  159.68    ,  0.0000    ,  8415.6    ,  6884.3    ,  0.0000    ,  0.0000    ,  212.23    ,  0.0000    ,  0.0000    ,  3778.1    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  9845.2    ,  10738.    ,  551.32    ,  0.0000    ,  0.0000      
  11,   1,   1,  0.0000    ,  82.450    ,  0.0000    ,  900.76    ,  1796.0    ,  0.0000    ,  0.0000    ,  109.59    ,  0.0000    ,  0.0000    ,  859.69    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  3571.1    ,  4241.0    ,  180.39    ,  0.0000    ,  0.0000      
  11,   1,   2,  0.0000    ,  128.83    ,  0.0000    ,  1839.2    ,  4569.6    ,  0.0000    ,  0.0000    ,  171.22    ,  0.0000    ,  0.0000    ,  2025.9    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  9320.8    ,  11031.    ,  436.30    ,  0.0000    ,  0.0000      
  11,   1,   3,  0.0000    ,  159.75    ,  0.0000    ,  7879.1    ,  9818.8    ,  0.0000    ,  0.0000    ,  212.31    ,  0.0000    ,  0.0000    ,  2517.7    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  11446.    ,  13543.    ,  535.86    ,  0.0000    ,  0.0000      
  12,   1,   1,  0.0000    ,  72.538    ,  0.0000    ,  1618.3    ,  1904.6    ,  0.0000    ,  0.0000    ,  100.69    ,  0.0000    ,  0.0000    ,  17103.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  3725.2    ,  4373.5    ,  4224.7    ,  1.5147    ,  0.0000      
  12,   1,   2,  0.0000    ,  116.51    ,  0.0000    ,  3842.7    ,  4964.8    ,  0.0000    ,  0.0000    ,  161.74    ,  0.0000    ,  0.0000    ,  27628.    ,  0.0000    ,  16760.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  9921.8    ,  11534.    ,  11306.    ,  0.0000    ,  0.0000      
  12,   1,   3,  0.0000    ,  148.25    ,  0.0000    ,  9912.3    ,  10737.    ,  0.0000    ,  0.0000    ,  205.79    ,  0.0000    ,  0.0000    ,  35152.    ,  0.0000    ,  21347.    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  12637.    ,  14704.    ,  14404.    ,  0.0000    ,  0.0000      
