$version=2
**** Load  :        27         Sgmnt:    1
2028   1 45.28 43.29 48.89 36.42 32.62 33.98 33.48 35.38 42.08 40.29 43.47 37.14
2028   2 67.14 66.65 69.89  76.3  85.1 89.32 89.59 90.14 81.15 76.74 67.92 59.66
2028   3 78.98 81.46 78.92 95.38102.89 109.7114.14103.37 93.17 86.88 84.22  75.9
2029   1  46.2 44.18 49.86 37.14 33.27 34.66 34.15 36.09 42.91  41.1 44.33 37.89
2029   2 68.51 68.01 71.26 77.81 86.79 91.12  91.4 91.96 82.76 78.28 69.27 60.86
2029   3 80.59 83.12 80.48 97.26104.94111.92116.45105.45 95.02 88.62  85.9 77.44
2030   1 47.12 45.06 50.87 37.89 33.93 35.36 34.83  36.8 43.77 41.93 45.22 38.65
2030   2 69.88 69.36 72.71 79.38 88.53 92.96 93.21 93.77 84.41 79.86 70.66 62.07
2030   3  82.2 84.78 82.11 99.23107.04114.18118.76107.53 96.92 90.41 87.62 78.98
**** Load  :        72         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0  7.58 21.83 21.14 18.09 14.22  3.02  4.52
2025   2     0     0     0     0     0 11.24  33.6 30.21 37.91 37.09  3.96 12.11
2025   3     0     0     0     0     0 13.23 41.07 34.12 18.95  9.97  4.87 10.28
2026   1     0     0     0     0     0  7.58 21.83 21.14 18.09 14.22  3.02  4.52
2026   2     0     0     0     0     0 11.24  33.6 30.21 37.91 37.09  3.96 12.11
2026   3     0     0     0     0     0 13.23 41.07 34.12 18.95  9.97  4.87 10.28
2027   1     0     0     0     0     0  7.58 21.83 21.14 18.09 14.22  3.02  4.52
2027   2     0     0     0     0     0 11.24  33.6 30.21 37.91 37.09  3.96 12.11
2027   3     0     0     0     0     0 13.23 41.07 34.12 18.95  9.97  4.87 10.28
2028   1     0     0     0     0     0  7.58 21.83 21.14 18.09 14.22  3.02  4.52
2028   2     0     0     0     0     0 11.24  33.6 30.21 37.91 37.09  3.96 12.11
2028   3     0     0     0     0     0 13.23 41.07 34.12 18.95  9.97  4.87 10.28
2029   1     0     0     0     0     0  7.58 21.83 21.14 18.09 14.22  3.02  4.52
2029   2     0     0     0     0     0 11.24  33.6 30.21 37.91 37.09  3.96 12.11
2029   3     0     0     0     0     0 13.23 41.07 34.12 18.95  9.97  4.87 10.28
2030   1     0     0     0     0     0  7.58 21.83 21.14 18.09 14.22  3.02  4.52
2030   2     0     0     0     0     0 11.24  33.6 30.21 37.91 37.09  3.96 12.11
2030   3     0     0     0     0     0 13.23 41.07 34.12 18.95  9.97  4.87 10.28
**** Load  :        73         Sgmnt:    1
YEAR BLK     1     2     3     4     5     6     7     8     9    10    11    12
2025   1     0     0     0     0     0     0     0     0     0     0     0     0
2025   2     0     0     0     0     0     0     0     0     0     0     0     0
2025   3     0     0     0     0     0     0     0     0     0     0     0     0
2026   1     0     0     0     0     0     0     0     0     0     0     0     0
2026   2     0     0     0     0     0     0     0     0     0     0     0     0
2026   3     0     0     0     0     0     0     0     0     0     0     0     0
2027   1     0     0     0     0     0     0     0     0     0     0     0     0
2027   2     0     0     0     0     0     0     0     0     0     0     0     0
2027   3     0     0     0     0     0     0     0     0     0     0     0     0
2028   1     0     0     0     0     0     0     0     0     0     0     0     0
2028   2     0     0     0     0     0     0     0     0     0     0     0     0
2028   3     0     0     0     0     0     0     0     0     0     0     0     0
2029   1     0     0     0     0     0     0     0     0     0     0     0     0
2029   2     0     0     0     0     0     0     0     0     0     0     0     0
2029   3     0     0     0     0     0     0     0     0     0     0     0     0
2030   1     0     0     0     0     0     0     0     0     0     0     0     0
