Varies per block?       ,    1,Unit    ,kUE    ,     2,     1,  2027
Varies per sequence?    ,    1
# of agents             ,   26
Stag,Seq.,Blck,Biometano  cluster interior SP (Paulinia),Rota 1  pre-sal Santos (UTGCA),Biometano  cluster Japeri (RJ),Rota 3  pre-sal (Boaventura),Rota 2  pre-sal (Cabiunas),BM-C-33 / Raia (Cabiunas),Producao capixaba (Cacimbas),Producao Bolivia (Rio Grande),Exportacao Argentina p/ Bolivia (Campo Duran),GNL firme DES  B. Guanabara,GNL firme DES  Acu,GNL firme DES  Santos,GNL spot  mercado internacional,Producao Bahia (Manati + Reconcavo),Producao onshore SE/AL (Carmopolis),SEAP  Sergipe Aguas Profundas,Producao RN (Guamare),GNL firme DES  Bahia,GNL firme DES  Pecem,GNL firme DES  Sergipe,GNL firme DES  Suape,Producao Urucu,Producao Parnaiba,GNL firme DES  Barcarena,Exportacao Argentina p/ TSB (Paso de los Libres),GNL firme DES  Babitonga (TGS)
   8,   1,   3,  0.0000    , 0.72638    ,  0.0000    ,  43.928    ,  26.003    ,  0.0000    ,  0.0000    , 0.79127    ,  0.0000    ,  0.0000    ,  6.9468    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  35.911    ,  51.151    ,  1.3102    , 0.11632E-01,  0.0000      
   9,   1,   1,  0.0000    , 0.30971    ,  0.0000    ,  7.3843    ,  11.381    ,  0.0000    ,  0.0000    , 0.33735    ,  0.0000    ,  0.0000    ,  4.1800    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  17.666    ,  21.841    , 0.63296    , 0.14752    ,  0.0000      
   9,   1,   2,  0.0000    , 0.59730    ,  0.0000    ,  14.971    ,  23.406    ,  0.0000    ,  0.0000    , 0.65059    ,  0.0000    ,  0.0000    ,  8.0876    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  36.691    ,  44.924    ,  1.1115    , 0.16265    ,  0.0000      
   9,   1,   3,  0.0000    , 0.68579    ,  0.0000    ,  44.736    ,  47.795    ,  0.0000    ,  0.0000    , 0.74697    ,  0.0000    ,  0.0000    ,  10.175    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  45.805    ,  55.758    ,  1.3749    ,  0.0000    ,  0.0000      
  10,   1,   1,  0.0000    , 0.30854    ,  0.0000    ,  3.9577    ,  3.3436    ,  0.0000    ,  0.0000    , 0.33937    ,  0.0000    ,  0.0000    ,  2.9953    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  15.737    ,  18.293    , 0.57241    , 0.15003    ,  0.0000      
  10,   1,   2,  0.0000    , 0.58769    ,  0.0000    ,  8.8997    ,  8.2986    ,  0.0000    ,  0.0000    , 0.64641    ,  0.0000    ,  0.0000    ,  7.2237    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  40.860    ,  46.606    ,  1.1254    , 0.28809    ,  0.0000      
  10,   1,   3,  0.0000    , 0.66535    ,  0.0000    ,  35.811    ,  28.685    ,  0.0000    ,  0.0000    , 0.73183    ,  0.0000    ,  0.0000    ,  8.7862    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  49.226    ,  56.517    ,  1.2821    ,  0.0000    ,  0.0000      
  11,   1,   1,  0.0000    , 0.34354    ,  0.0000    ,  3.8330    ,  7.4833    ,  0.0000    ,  0.0000    , 0.37788    ,  0.0000    ,  0.0000    ,  1.9993    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  17.856    ,  22.321    , 0.41950    ,  0.0000    ,  0.0000      
  11,   1,   2,  0.0000    , 0.53679    ,  0.0000    ,  7.8263    ,  19.040    ,  0.0000    ,  0.0000    , 0.59042    ,  0.0000    ,  0.0000    ,  4.7114    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  46.604    ,  58.056    ,  1.0146    ,  0.0000    ,  0.0000      
  11,   1,   3,  0.0000    , 0.66562    ,  0.0000    ,  33.528    ,  40.911    ,  0.0000    ,  0.0000    , 0.73212    ,  0.0000    ,  0.0000    ,  5.8551    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  57.229    ,  71.281    ,  1.2462    ,  0.0000    ,  0.0000      
  12,   1,   1,  0.0000    , 0.30224    ,  0.0000    ,  6.8863    ,  7.9360    ,  0.0000    ,  0.0000    , 0.34721    ,  0.0000    ,  0.0000    ,  39.774    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  18.626    ,  23.018    ,  9.8250    , 0.58258E-02,  0.0000      
  12,   1,   2,  0.0000    , 0.48547    ,  0.0000    ,  16.352    ,  20.687    ,  0.0000    ,  0.0000    , 0.55771    ,  0.0000    ,  0.0000    ,  64.250    ,  0.0000    ,  41.901    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  49.609    ,  60.705    ,  26.293    ,  0.0000    ,  0.0000      
  12,   1,   3,  0.0000    , 0.61770    ,  0.0000    ,  42.180    ,  44.737    ,  0.0000    ,  0.0000    , 0.70962    ,  0.0000    ,  0.0000    ,  81.750    ,  0.0000    ,  53.367    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,  63.185    ,  77.392    ,  33.498    ,  0.0000    ,  0.0000      
